,Code zone,Zone,Code Produit,Produit,Code Élément,Élément,Unité,Y2016
0,68,France,526,Abricots,5510,Production,tonnes,110850.0
1,68,France,406,Ail,5510,Production,tonnes,21034.0
2,68,France,221,Amandes non décortiquées,5510,Production,tonnes,667.0
3,68,France,366,Artichauts,5510,Production,tonnes,45914.0
4,68,France,367,Asperges,5510,Production,tonnes,20701.0
5,68,France,399,Aubergines,5510,Production,tonnes,31972.0
6,68,France,572,Avocats,5510,Production,tonnes,1906.0
7,68,France,75,Avoine,5510,Production,tonnes,344838.0
8,68,France,558,Baies nda,5510,Production,tonnes,
9,68,France,15,Blé,5510,Production,tonnes,29504454.0
10,68,France,554,Canneberges,5510,Production,tonnes,61.0
11,68,France,426,Carottes et navets,5510,Production,tonnes,578490.0
12,68,France,550,Cassis et groseilles,5510,Production,tonnes,1692.0
13,68,France,103,Céréales mélangées,5510,Production,tonnes,177647.0
14,68,France,108,"Ceréales, nda",5510,Production,tonnes,166358.0
15,68,France,531,Cerises,5510,Production,tonnes,34733.0
16,68,France,449,Champignons et truffes,5510,Production,tonnes,101949.0
17,68,France,336,Chanvre,5510,Production,tonnes,80895.0
18,68,France,777,"Chanvre, fibre et etoupe",5510,Production,tonnes,1823.0
19,68,France,220,Châtaignes,5510,Production,tonnes,8642.0
20,68,France,358,Choux et autres brassicacée,5510,Production,tonnes,176064.0
21,68,France,393,Choux-fleurs et brocolis,5510,Production,tonnes,308488.0
22,68,France,497,Citrons et limes,5510,Production,tonnes,4144.0
23,68,France,394,"Citrouilles, courges et potirons",5510,Production,tonnes,95545.0
24,68,France,523,Coings,5510,Production,tonnes,
25,68,France,270,Colza,5510,Production,tonnes,4727961.0
26,68,France,397,"Concombres, cornichons",5510,Production,tonnes,137151.0
27,68,France,373,Epinards,5510,Production,tonnes,106469.0
28,68,France,181,Fèves sèches,5510,Production,tonnes,198246.0
29,68,France,569,Figues,5510,Production,tonnes,3278.0
30,68,France,544,Fraises,5510,Production,tonnes,58737.0
31,68,France,547,Framboises,5510,Production,tonnes,4030.0
32,68,France,541,"Fruit à noyau, nda",5510,Production,tonnes,12269.0
33,68,France,619,Fruits frais nda,5510,Production,tonnes,38355.0
34,68,France,603,"Fruits tropicaux frais, nda",5510,Production,tonnes,
35,68,France,512,"Fruits, agrumes nda",5510,Production,tonnes,
36,68,France,333,Graines de lin,5510,Production,tonnes,45197.0
37,68,France,267,Graines de tournesol,5510,Production,tonnes,1189832.0
38,68,France,339,Graines oleagineuses nda,5510,Production,tonnes,9870.0
39,68,France,414,Haricots frais,5510,Production,tonnes,32524.0
40,68,France,176,Haricots secs,5510,Production,tonnes,7443.0
41,68,France,423,Haricots verts,5510,Production,tonnes,299857.0
42,68,France,677,Houblon,5510,Production,tonnes,636.0
43,68,France,592,Kiwis,5510,Production,tonnes,65036.0
44,68,France,372,Laitue et chicorée,5510,Production,tonnes,228378.0
45,68,France,463,"Légumes frais, nda",5510,Production,tonnes,829590.0
46,68,France,420,"Légumineuses nda (dont fèves, caroubes)",5510,Production,tonnes,10192.0
47,68,France,211,"Légumineuses, nda",5510,Production,tonnes,5695.0
48,68,France,201,Lentilles,5510,Production,tonnes,21534.0
49,68,France,773,"Lin, fibre et etoupe",5510,Production,tonnes,587047.0
50,68,France,210,Lupins,5510,Production,tonnes,16519.0
51,68,France,56,Maïs,5510,Production,tonnes,12131249.0
52,68,France,446,Maïs frais,5510,Production,tonnes,310934.0
53,68,France,568,"Melons, cantaloups",5510,Production,tonnes,251547.0
54,68,France,79,Mils,5510,Production,tonnes,41923.0
55,68,France,292,Moutarde,5510,Production,tonnes,13800.0
56,68,France,552,Myrtilles,5510,Production,tonnes,9352.0
57,68,France,225,Noisettes non décortiquées,5510,Production,tonnes,11041.0
58,68,France,249,Noix de coco,5510,Production,tonnes,2125.0
59,68,France,222,Noix non décortiquées,5510,Production,tonnes,39410.0
60,68,France,296,Oeillette,5510,Production,tonnes,5777.0
61,68,France,403,Oignons secs,5510,Production,tonnes,458143.0
62,68,France,402,"Oignons, echalotes, frais",5510,Production,tonnes,49352.0
63,68,France,260,Olives,5510,Production,tonnes,27102.0
64,68,France,490,Oranges,5510,Production,tonnes,4591.0
65,68,France,44,Orge,5510,Production,tonnes,10306008.0
66,68,France,507,Pamplemousses et pomelos,5510,Production,tonnes,6188.0
67,68,France,567,Pastèques,5510,Production,tonnes,16870.0
68,68,France,534,Pêches et nectarines,5510,Production,tonnes,207759.0
69,68,France,401,"Piments forts, piments doux frais",5510,Production,tonnes,44035.0
70,68,France,407,Poireaux et autres légumes alliacés,5510,Production,tonnes,150942.0
71,68,France,521,Poires,5510,Production,tonnes,129627.0
72,68,France,417,Pois frais,5510,Production,tonnes,233103.0
73,68,France,187,Pois secs,5510,Production,tonnes,538690.0
74,68,France,515,Pommes,5510,Production,tonnes,1819762.0
75,68,France,116,Pommes de terre,5510,Production,tonnes,6834680.0
76,68,France,536,Prunes et prunelles,5510,Production,tonnes,211269.0
77,68,France,459,Racines de chicorée,5510,Production,tonnes,51100.0
78,68,France,149,Racines et tubercules nda,5510,Production,tonnes,35723.0
79,68,France,560,Raisins,5510,Production,tonnes,6247034.0
80,68,France,27,"Riz, paddy",5510,Production,tonnes,81075.0
81,68,France,89,"Sarrasin, blé noir",5510,Production,tonnes,122206.0
82,68,France,71,Seigle,5510,Production,tonnes,98509.0
83,68,France,236,Soja,5510,Production,tonnes,338864.0
84,68,France,83,Sorgho,5510,Production,tonnes,232183.0
85,68,France,157,"Sucre, betterave",5510,Production,tonnes,33794906.0
86,68,France,826,"Tabac, feuilles",5510,Production,tonnes,8801.0
87,68,France,495,"Tangerines, mandarines, clémentines, satsumas",5510,Production,tonnes,43134.0
88,68,France,388,"Tomates, fraiches",5510,Production,tonnes,640940.0
89,68,France,97,Triticale,5510,Production,tonnes,1448116.0
90,68,France,1804,"Agrumes,Total",5510,Production,tonnes,58057.0
91,68,France,1814,"Céréales Secondaires,Tot",5510,Production,tonnes,25069037.0
92,68,France,1717,"Céréales,Total",5510,Production,tonnes,54654565.0
93,68,France,1753,Cultur Textiles Primaire,5510,Production,tonnes,
94,68,France,1732,"Cultures Oleágineuses, équivalent huile",5510,Production,tonnes,
95,68,France,1841,"Cultures Oleágineuses, équivalent tourteaux",5510,Production,tonnes,
96,68,France,1729,"Fruits à Coque,Total",5510,Production,tonnes,59761.0
97,68,France,1738,Fruits Prim et Melons,5510,Production,tonnes,9282224.0
98,68,France,1735,Légumes Prim Exc Melons,5510,Production,tonnes,4911767.0
99,68,France,1726,"Légumineuses Sèches,Tot.",5510,Production,tonnes,788127.0
100,68,France,1720,"Racines&Tubercules,Total",5510,Production,tonnes,6870403.0
101,68,France,1107,Anes,5111,Réserves,Tête,12159.0
102,68,France,866,Bovins,5111,Réserves,Tête,19325515.0
103,68,France,1068,Canards,5112,Réserves,1000 têtes,24534.0
104,68,France,1016,Caprins,5111,Réserves,Tête,1234184.0
105,68,France,1096,Chevaux,5111,Réserves,Tête,379554.0
106,68,France,1079,Dindes,5112,Réserves,1000 têtes,20582.0
107,68,France,1140,Leporides,5112,Réserves,1000 têtes,761.0
108,68,France,1110,Mulets,5111,Réserves,Tête,27915.0
109,68,France,1072,Oies et pintades,5112,Réserves,1000 têtes,369.0
110,68,France,976,Ovins,5111,Réserves,Tête,7003559.0
111,68,France,1083,Pigeons et autres oiseaux,5112,Réserves,1000 têtes,1742.0
112,68,France,1034,Porcins,5111,Réserves,Tête,12709379.0
113,68,France,1057,Poulets,5112,Réserves,1000 têtes,167413.0
114,68,France,1181,Ruches,5114,Réserves,No,794209.0
115,68,France,1746,Bovins et buffles,5111,Réserves,Tête,19325515.0
116,68,France,1749,Ovins et caprins,5111,Réserves,Tête,8237743.0
117,68,France,2029,Volaille,5112,Réserves,1000 têtes,214640.0
